ID,pIC50_Real,pIC50_GNN
7459,5.4685211181640625,5.670632839202881
50441191,5.4685211181640625,5.858793258666992
7457,5.455932140350342,5.661937713623047
50437805,5.443697452545166,5.894318580627441
50044971,5.443697452545166,5.389680862426758
50044975,5.4202165603637695,5.35894250869751
50441200,5.397940158843994,6.160867214202881
50135835,5.397940158843994,5.496913909912109
50135835,5.397940158843994,5.496913909912109
59100,5.387216091156006,5.4729084968566895
50028380,5.3665313720703125,5.799668312072754
50528595,5.3665313720703125,5.927644729614258
50044976,5.3565473556518555,5.482673645019531
50528597,5.3565473556518555,6.565548896789551
50528601,5.346787452697754,5.5767388343811035
50441203,5.337242126464844,6.1751837730407715
50335492,5.337242126464844,5.270471572875977
50422670,5.2899675369262695,5.2264204025268555
50044975,5.214670181274414,5.35894250869751
50422659,5.189969062805176,5.898914337158203
50422643,5.179995536804199,5.577473163604736
50422654,5.179995536804199,6.576024532318115
50081650,5.17587423324585,5.615634918212891
50437801,5.15490198135376,5.984103679656982
50115109,5.15490198135376,5.909310340881348
50422642,5.150028228759766,5.873919486999512
50335490,5.148741722106934,5.359951019287109
50081647,5.146910667419434,6.082749366760254
50437796,5.096909999847412,5.372366905212402
50422671,5.0900163650512695,5.847365379333496
50528590,5.086185932159424,6.623318195343018
50437802,5.045757293701172,5.442298412322998
50422664,5.010016441345215,6.108081340789795
50335491,5.0,5.296955585479736
50081649,4.98505973815918,5.556242942810059
50422676,4.959991455078125,5.765566825866699
50028381,4.958607196807861,5.6749677658081055
50028310,4.958607196807861,5.826103687286377
50528600,4.958607196807861,6.389042854309082
701278,4.901010513305664,5.055359363555908
50437794,4.886056423187256,5.684773921966553
50441194,4.886056423187256,5.660123825073242
50441192,4.853871822357178,5.409297466278076
50422647,4.850011348724365,4.959080219268799
50422672,4.850011348724365,5.956854820251465
50028363,4.823908805847168,5.735694885253906
50441201,4.823908805847168,5.68928861618042
50441207,4.823908805847168,6.253406524658203
50528591,4.823908805847168,5.592933654785156
701278,4.817015171051025,5.055359840393066
50422665,4.7999982833862305,6.127904891967773
50422673,4.7999982833862305,5.3872270584106445
50335494,4.798603057861328,5.517539024353027
50441204,4.79587984085083,5.7858147621154785
50422661,4.790002822875977,5.344819068908691
50422652,4.770010948181152,5.672228813171387
