ligand_id,lig_key,status,mensagem,sdf_path,num_conformers,num_atoms
50379999,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50379999_LIG2.sdf,1,48
50380000,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50380000_LIG1.sdf,1,12
50380000,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50380000_LIG2.sdf,1,48
50422641,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50422641_LIG1.sdf,1,18
50422641,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422641_LIG2.sdf,1,48
50422642,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50422642_LIG1.sdf,1,18
50422642,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422642_LIG2.sdf,1,48
50422643,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50422643_LIG1.sdf,1,15
50422643,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422643_LIG2.sdf,1,48
50422645,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 5,,,
50422645,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422645_LIG2.sdf,1,48
50422646,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50422646_LIG1.sdf,1,14
50422646,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422646_LIG2.sdf,1,48
50422647,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50422647_LIG1.sdf,1,15
50422647,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422647_LIG2.sdf,1,48
50422649,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 6,,,
50422649,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422649_LIG2.sdf,1,48
50422650,LIG1,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG1/50422650_LIG1.sdf,1,12
50422650,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422650_LIG2.sdf,1,48
50422651,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 2 6 11,,,
50422651,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422651_LIG2.sdf,1,48
50422652,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 5 8 13,,,
50422652,LIG2,OK,,/home/patrick/1_PROJETO_DOCAGEM/Projeto_DXR/Banco-de-dados-bindingDB/Descritores/PROJETO_DXR_ML_GNN/00_Dados_Originais/docking_boltz-2_V3/02_Ligantes_3D/sdf_from_pkl/LIG2/50422652_LIG2.sdf,1,48
50422653,LIG1,ERRO_SALVAR_SDF,Erro ao salvar SDF para LIG1: Can't kekulize mol.  Unkekulized atoms: 5,,,
