Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM
11,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,30.0
12,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,30.0
13,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,32.0
14,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,32.0
15,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,42.0
16,50441211,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],OLMCJFHPDFCFTI-JTQLQIEISA-N,50441211,42.0
17,50153713,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-N,50153713,48.0
18,50380000,[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H])C([H])([H])[H],OXDGJHZVDJQJCC-UHFFFAOYSA-N,50380000,48.0
19,50028309,[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])[P@](=O)([O-])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])([H])P(=O)([O-])O[H],GJXWDTUCERCKIX-UHFFFAOYSA-M,50028309,49.0
20,50185361,[H]ON(C(=O)C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])[C@@]1([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C1([H])P(=O)(O[H])O[H],LUPJKMGSDFIKFE-NTSWFWBYSA-N,50185361,50.0
21,50422669,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])P(=O)(O[H])O[H],DKQIVUFJEDPLFP-RXMQYKEDSA-N,50422669,54.0
22,50181153,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])P(=O)(O[H])O[H],PKMNDDZSIHLLLI-UHFFFAOYSA-N,50181153,58.0
23,50181154,[H]ON(C([H])=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],AJGPMMOCRYQLNY-SNVBAGLBSA-N,50181154,59.0
24,50181154,[H]ON(C([H])=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C([H])=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],AJGPMMOCRYQLNY-SNVBAGLBSA-N,50181154,59.0
25,50422650,[H]ON(C(=O)C([H])([H])[H])C([H])([H])/C([H])=C(\[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])=C([H])P(=O)(O[H])O[H],LJCWFOKLHHHANO-DUXPYHPUSA-N,50422650,65.0
26,50028362,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H])C([H])([H])[H],VLBYPFQOJHBTHH-NSHDSACASA-N,50028362,70.0
