Molecula_N,id,isomeric_smiles,canonical_smiles,inchikey,BindingDB MonomerID,IC50_nM,SMILES_CLEAN
81,50181151,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],WKYGVTJLHPMWIU-GFCCVEGCSA-N,50181151,459.0,COc1ccc(C(CCN(O)C(C)=O)P(=O)(O)O)cc1
84,50441209,[H]ON(C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])SC([H])(c1c([H])c([H])c([H])c2c([H])c([H])c([H])c([H])c12)P(=O)(O[H])O[H])C([H])([H])[H],RWUHAWVQQUMWLS-AWEZNQCLSA-N,50441209,550.0,CN(O)C(=O)CSC(c1cccc2ccccc12)P(=O)(O)O
85,50422677,[H]ON(C(=O)C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])P(=O)(O[H])O[H],IHWCDDPJHBMTAV-RXMQYKEDSA-N,50422677,646.0,CC(=O)N(O)CC(C)CP(=O)(O)O
87,50528603,[H]ON([H])C(=O)C([H])([H])S[C@]([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c1[H])P(=O)(O[H])O[H],XGGBDHVHUYHYBD-LLVKDONJSA-N,50528603,680.0,COc1cc(OC)cc(C(SCC(=O)NO)P(=O)(O)O)c1
88,50028310,[H]ON([H])C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])P(=O)(O[H])O[H],SCBADMOVHOXNEN-JTQLQIEISA-N,50028310,700.0,Cc1ccc(C(CCC(=O)NO)P(=O)(O)O)cc1
89,50422674,[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],[H]ON(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])P(=O)(O[H])O[H],VRKRIEKURSYLLU-SSDOTTSWSA-N,50422674,708.0,CCC(CCN(O)C(C)=O)P(=O)(O)O
90,50441205,[H]ON([H])C(=O)C([H])([H])S[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON([H])C(=O)C([H])([H])SC([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],MMODIMKCMBCKCF-VIFPVBQESA-N,50441205,720.0,O=C(CSC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O)NO
91,50441196,[H]ON(C(=O)C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],[H]ON(C(=O)C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(F)c(F)c1[H])P(=O)(O[H])O[H])C([H])([H])[H],IZWIBRNXHRUNKD-JTQLQIEISA-N,50441196,770.0,CN(O)C(=O)CCC(c1ccc(F)c(F)c1)P(=O)(O)O
92,50437803,[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],[H]ON(C(=O)c1c([H])c([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])C([H])([H])C([H])(c1c([H])c([H])c(Cl)c(Cl)c1[H])P(=O)(O[H])O[H],RHTCGYHBCJAMDN-INIZCTEOSA-N,50437803,830.0,Cc1ccccc1C(=O)N(O)CCC(c1ccc(Cl)c(Cl)c1)P(=O)(O)O
93,50335493,[H]OP(=O)(O[H])C([H])([H])c1nc([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],[H]OP(=O)(O[H])C([H])([H])c1nc([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],JTYLHYFDHHMHKD-UHFFFAOYSA-N,50335493,840.0,O=P(O)(O)Cc1ccc(-c2ccccc2)cn1
